dataset,method,probe,test_fold,bin,f1_macro,n_test
aef,shrink_a0.25,linear,3,large(>500),0.7035117907135465,1932
aef,shrink_a0.25,knn,3,overall,0.4712947423074595,17045
aef,shrink_a0.25,knn,3,tiny(<50),0.3070016880723246,2620
aef,shrink_a0.25,knn,3,small(50-150),0.3998444078048145,6288
aef,shrink_a0.25,knn,3,medium(150-500),0.5053313566260744,6205
aef,shrink_a0.25,knn,3,large(>500),0.5713169395479347,1932
aef,shrink_a0.25,linear,4,overall,0.6089190071323201,17478
aef,shrink_a0.25,linear,4,tiny(<50),0.3686351625114259,2498
aef,shrink_a0.25,linear,4,small(50-150),0.5219386257795293,6773
aef,shrink_a0.25,linear,4,medium(150-500),0.6774279707896959,6372
aef,shrink_a0.25,linear,4,large(>500),0.750286312158564,1835
aef,shrink_a0.25,knn,4,overall,0.490009521730765,17478
aef,shrink_a0.25,knn,4,tiny(<50),0.2899637657659127,2498
aef,shrink_a0.25,knn,4,small(50-150),0.4124216176283777,6773
aef,shrink_a0.25,knn,4,medium(150-500),0.5428574203712164,6372
aef,shrink_a0.25,knn,4,large(>500),0.6004395766440855,1835
aef,shrink_a0.25,linear,5,overall,0.5827198205365742,16640
aef,shrink_a0.25,linear,5,tiny(<50),0.3547220454885603,2437
aef,shrink_a0.25,linear,5,small(50-150),0.5011005357982108,6214
aef,shrink_a0.25,linear,5,medium(150-500),0.642513124768889,5956
aef,shrink_a0.25,linear,5,large(>500),0.6779870432453068,2033
aef,shrink_a0.25,knn,5,overall,0.4797164199225363,16640
aef,shrink_a0.25,knn,5,tiny(<50),0.3125918981553484,2437
aef,shrink_a0.25,knn,5,small(50-150),0.3942860168027274,6214
aef,shrink_a0.25,knn,5,medium(150-500),0.5190201585747198,5956
aef,shrink_a0.25,knn,5,large(>500),0.6142368897985624,2033
aef,shrink_a0.5,linear,1,overall,0.5879568319277924,17229
aef,shrink_a0.5,linear,1,tiny(<50),0.3307994437396668,2468
aef,shrink_a0.5,linear,1,small(50-150),0.4950600245175471,6598
aef,shrink_a0.5,linear,1,medium(150-500),0.6497998134667407,6256
aef,shrink_a0.5,linear,1,large(>500),0.7029352030932512,1907
aef,shrink_a0.5,knn,1,overall,0.47311099990954,17229
